Write points: [{'fields': {'READING_POWER_IN_NORM_TARIFF': 31.868, 'ACTUAL_POWER_IN': 0.252, 'READING_POWER_IN_LOW_TARIFF': 23.281, 'READING_GAS_IN': 5.391}, 'time': '2018-06-09T21:55:17.835317', 'measurement': 'SmartMeter'}]
Write points: [{'fields': {'READING_POWER_IN_NORM_TARIFF': 31.868, 'ACTUAL_POWER_IN': 0.252, 'READING_POWER_IN_LOW_TARIFF': 23.281, 'READING_GAS_IN': 5.391}, 'time': '2018-06-09T21:55:47.867610', 'measurement': 'SmartMeter'}]
Write points: [{'fields': {'READING_POWER_IN_NORM_TARIFF': 31.868, 'ACTUAL_POWER_IN': 0.252, 'READING_POWER_IN_LOW_TARIFF': 23.281, 'READING_GAS_IN': 5.391}, 'time': '2018-06-09T21:56:17.897525', 'measurement': 'SmartMeter'}]
Write points: [{'fields': {'READING_POWER_IN_NORM_TARIFF': 31.868, 'ACTUAL_POWER_IN': 0.252, 'READING_POWER_IN_LOW_TARIFF': 23.281, 'READING_GAS_IN': 5.391}, 'time': '2018-06-09T21:56:47.938039', 'measurement': 'SmartMeter'}]
Write points: [{'fields': {'READING_POWER_IN_NORM_TARIFF': 31.868, 'ACTUAL_POWER_IN': 0.252, 'READING_POWER_IN_LOW_TARIFF': 23.281, 'READING_GAS_IN': 5.391}, 'time': '2018-06-09T21:57:17.977910', 'measurement': 'SmartMeter'}]
Write points: [{'fields': {'READING_POWER_IN_NORM_TARIFF': 31.868, 'ACTUAL_POWER_IN': 0.252, 'READING_POWER_IN_LOW_TARIFF': 23.281, 'READING_GAS_IN': 5.391}, 'time': '2018-06-09T21:57:48.018754', 'measurement': 'SmartMeter'}]
Write points: [{'fields': {'READING_POWER_IN_NORM_TARIFF': 31.868, 'ACTUAL_POWER_IN': 0.252, 'READING_POWER_IN_LOW_TARIFF': 23.281, 'READING_GAS_IN': 5.391}, 'time': '2018-06-09T21:58:19.779504', 'measurement': 'SmartMeter'}]
Write points: [{'fields': {'READING_POWER_IN_NORM_TARIFF': 31.868, 'ACTUAL_POWER_IN': 0.253, 'READING_POWER_IN_LOW_TARIFF': 23.296, 'READING_GAS_IN': 5.391}, 'time': '2018-06-09T21:58:49.793554', 'measurement': 'SmartMeter'}]
Write points: [{'fields': {'READING_POWER_IN_NORM_TARIFF': 31.868, 'ACTUAL_POWER_IN': 0.253, 'READING_POWER_IN_LOW_TARIFF': 23.296, 'READING_GAS_IN': 5.391}, 'time': '2018-06-09T21:59:19.827500', 'measurement': 'SmartMeter'}]
Write points: [{'fields': {'READING_POWER_IN_NORM_TARIFF': 31.868, 'ACTUAL_POWER_IN': 0.253, 'READING_POWER_IN_LOW_TARIFF': 23.296, 'READING_GAS_IN': 5.391}, 'time': '2018-06-09T21:59:49.869619', 'measurement': 'SmartMeter'}]
